"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Belice","BLZ","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.76662","","","10.31553","10.02875","","","9.65143","9.52041","9.83954","","9.4348","10.78864","11.61064","10.35788","9.40499","8.22403","8.1799","7.54416","8.24278","7.58884","7.20332","6.86637","7.29183","6.81406","6.77318","6.67993","","","",
"Bermudas","BMU","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","","","","","","7.39991","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.77181","6.63743","6.18398","5.68455","4.18003","1.99687","2.24885","2.28492","2.26449","","","",
"Brasil","BRA","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","19.2407","16.12148","18.03192","18.10417","17.58442","17.17295","19.25483","21.31757","21.58182","17.61506","21.6938","21.70049","21.75059","","20.9128","19.58827","","19.82945","","","","","18.14645","18.3859","19.12068","","","","","24.04412","25.01127","21.46805","20.61118","19.95374","20.13395","18.6657","","","11.8231","10.8305","9.44715","8.74965","","","","","","","","","","",
"Barbados","BRB","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","","","7.68955","8.47199","9.13585","8.2766","7.52011","8.89773","9.8569","15.30701","12.5553","13.16097","13.79648","9.00491","10.22314","","8.56069","","","","","9.73724","9.64004","10.16434","8.86681","7.84121","","","","","","","","","2.57212","2.25159","1.60573","2.0904","0.81773","0.54386","0.13118","0.14394","0.07017","0.06652","0.19719","0.15843","0.63008","0.27771","0.08107","","","",
"Bhután","BTN","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","","","","","","","10.95315","21.1094","3.48558","12.91063","","","","","","","","","16.76906","","","","","18.64971","19.02345","","","","13.03729","12.10755","13.18455","12.93139","","","10.08497","7.47853","6.85449","6.59443","6.39303","6.60039","6.33239","5.73919","5.32308","5.85681","6.25178","","6.01424","4.72161","7.29993","","","",
"Botswana","BWA","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","0.33252","0.7343","0.88168","1.64484","2.30544","2.89011","2.61331","2.25727","1.99988","2.63047","2.9317","4.62756","5.63547","6.47463","5.88115","5.6854","4.73084","5.31181","4.95003","4.93543","4.87521","4.56106","3.31861","2.6136","2.70437","3.47665","3.28752","","3.09832","3.3094","3.39611","3.24176","3.1892","4.6886","4.59762","4.70882","4.66744","4.89321","4.55333","4.55385","","","4.66248","4.39357","5.3103","","","","","","","",
"República Centroafricana","CAF","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","","28.1418","27.65446","26.00869","32.21782","31.18391","35.30339","31.84466","29.69762","","","35.09794","34.76775","35.26559","","","29.44073","34.95344","34.75466","33.86036","31.21476","31.68941","37.20414","","","","","","","","","","","","30.5016","29.49918","28.1774","","25.61764","23.80331","20.68755","22.59682","22.7293","","","","22.64186","","","","","",
"Canadá","CAN","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","","","","","","0","","0","0","0","0","","","","","","","","","","",
"Europa Central y del Báltico","CEB","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","4.07275","4.0615","4.20178","4.05331","3.07392","2.26506","2.23957","2.24576","2.26294","2.14907","2.06931","2.07078","2.50719","2.83137","2.7631","2.56078","2.516","2.44958","2.42804","2.30926","2.29218","2.36958","2.23834","2.14908","2.03616","1.88531","1.87606","1.79472","1.78981","1.7952","1.61633","1.4414","1.40615","1.33265","1.28276","1.28665","1.22488","1.06598","1.35576","1.25724","1.119","1.09453","1.01967","1.00388","0.93968","0.86495","0.9409","1.01387","1.01256","","","",
"Suiza","CHE","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","","","","","","","","2.45691","2.29368","2.23152","1.99005","1.95125","2.22663","2.18038","2.20188","2.06681","2.0087","2.00083","1.97388","1.8541","1.80074","1.66991","1.75163","1.61416","1.62597","","1.56016","","","1.76016","1.64069","1.68054","1.70556","1.64197","","1.62984","1.43292","1.45535","1.47928","1.44123","1.43226","1.353","1.31281","1.23277","0.95702","1.06633","1.23149","1.19089","","","","",
"Islas del Canal","CHI","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","11.62474","8.90059","9.10652","12.45094","12.95822","13.3911","13.32612","13.76415","","","","","","8.03355","","","","","","","","","","","","","","4.15317","","","","","","","","","","","","","","4.91251","4.68702","4.42066","4.05332","3.61192","3.34567","3.01418","","","","",
"China","CHN","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.48817","6.51575","6.14473","5.10434","4.57985","3.73956","2.83005","2.18098","1.6397","","","","","","","","","0.26887","0.24671","0.28671","0.27986","0.2768","0.2582","0.17111","0.15093","0.08044","0.01997","0.01355","0.01378","0.0075","","","",
"Côte d'Ivoire","CIV","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","","","","25.1593","26.10418","22.86749","20.8929","19.13418","17.79217","18.41092","18.98699","19.64493","","24.51646","25.81668","28.66669","28.34359","27.1577","25.84145","26.33627","26.34724","24.06611","27.04062","26.64097","25.4101","26.69006","23.50407","24.64682","25.42585","23.65236","24.18788","22.96174","23.33951","17.59135","","","23.52618","21.59151","","18.79494","","16.58119","19.64269","20.21975","15.00569","15.21149","12.66589","11.04798","","","","",
"Camerún","CMR","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","","","","25.89594","26.90096","26.42546","25.07053","25.9163","18.32179","27.28511","29.24187","29.9706","30.20493","29.81684","29.53783","28.86771","29.28918","29.34365","29.08793","","28.63201","29.18128","","","","","","","","26.65005","26.65006","","25.16524","25.81304","25.08735","25.96527","25.11011","20.06706","16.80403","14.67856","13.14453","12.49563","12.32195","","12.72654","12.17166","11.78686","12.18617","12.24649","","","",
"Congo, República Democrática del","COD","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","","22.88389","23.07746","","","","21.11086","20.80471","20.29244","","18.82024","18.82023","18.82021","18.82022","18.82023","","","","20.76974","","","17.63398","11.91027","8.97409","20.96053","","","","","15.53496","","","16.30319","","","","","15.92538","15.33738","15.33739","14.118","12.34413","11.2093","10.80886","","9.86886","","","","","","",
"Congo, República del","COG","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","","32.61413","32.13753","30.37017","30.75548","29.15259","26.14783","24.71282","24.61878","24.72565","24.838","25.70903","27.89116","30.76188","31.73039","33.20116","29.85488","31.31002","30.81986","34.84521","38.51624","","32.79049","34.03332","35.65687","","33.22106","","","39.10132","27.22405","24.91551","24.75581","27.81866","24.54387","23.94643","21.21846","21.21853","22.40412","19.6627","19.08174","18.69694","22.79069","","","","","","","","","",
"Colombia","COL","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","16.61191","16.13698","16.02593","15.3733","15.35765","","","","","","","","13.17967","12.70527","12.33472","16.95325","16.95325","12.33472","12.33472","12.33472","11.43768","11.38588","12.33001","7.30797","9.22079","9.30746","7.23095","","4.63326","5.20321","5.35442","6.6195","6.62171","","4.29729","4.10633","3.8405","3.71155","3.47258","1.97816","1.9439","2.5377","2.46457","1.47777","1.57124","2.32054","1.986","2.22959","1.79565","","","",
"Comoras","COM","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","","","","","","","","","","","","24.56246","","","","","32.61304","36.68355","","","","","39.11772","40.92812","35.82486","","","","","25.99379","25.99416","","27.97725","27.98301","27.12193","","","25.89506","24.43144","","","24.35057","","20.71622","17.49778","","","16.58863","15.95299","","","",
"Cabo Verde","CPV","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","","","","","","","","","","27.02762","28.97902","28.64709","29.17702","28.56036","29.45418","29.00938","27.68654","27.09295","23.97054","","18.77776","","","","16.92272","","","","9.01751","","11.58169","11.88107","13.36614","13.42736","12.96014","15.51485","14.03836","12.88562","11.59386","10.36874","9.64939","10.50713","10.00839","9.92575","9.02447","8.27205","8.59701","8.12476","7.74608","","","",
"Costa Rica","CRI","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","10.33809","11.04641","5.85728","2.03369","2.65696","6.4749","7.53804","7.31283","7.6746","7.66585","7.87526","7.41102","7.19566","11.58261","10.96111","10.5697","9.7349","10.27091","10.68231","11.008","11.291","10.5282","9.55442","8.10586","8.72451","9.34922","11.40333","","","8.90199","8.05944","8.21181","7.46972","","6.92674","7.18925","7.29935","7.62216","7.03812","5.0782","5.67758","5.4949","5.33049","5.02244","4.18224","3.11306","3.2592","2.79045","2.31226","","","",
"Estados pequeos del Caribe","CSS","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","","","","","","6.23489","5.93503","6.1457","6.48472","6.30483","6.17637","5.27477","5.32254","5.4595","5.89407","5.8769","5.49236","5.53007","5.2","5.10855","5.08615","5.18159","5.26916","5.23476","5.66837","5.87659","6.0231","5.92569","5.74193","5.58304","6.21591","5.78591","5.07008","4.80654","4.66412","4.64044","4.05345","4.12776","4.67804","4.86258","4.90694","4.79969","4.75696","4.74172","4.77933","4.93221","4.90536","4.79811","4.68625","","","",
"Cuba","CUB","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","","21.6073","28.45633","22.21251","15.9385","11.23734","8.12456","2.75865","2.10066","2.14605","4.52867","5.70275","6.7534","5.53982","4.89225","4.08965","3.20949","4.26246","7.79944","5.16114","3.60568","2.63434","2.66535","3.05094","2.95549","2.7668","3.08485","","1.81651","1.59334","1.40688","1.36619","1.20921","0.83159","0.66093","0.51729","0.48739","0.51125","0.53681","0.4296","0.42944","0.60208","0.60297","0.59389","0.67305","0.63759","0.53437","0.4591","0.44902","","","",
"Curacao","CUW","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Islas Caimán","CYM","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.15475","0.20378","0.22542","0.05588","","0","0.21605","0","0","0","","","0","0","0.12658","","","","","0","","","",
"Chipre","CYP","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","","2.26865","2.16124","1.66547","1.43902","0.94088","0.97523","0.9681","0.80484","0.67392","0.87388","0.57494","0.49246","0.43292","0.60232","0.49176","0.39419","0.37048","0.36264","0.38147","0.29257","0.37801","0.32464","0.2861","0.32508","0.30054","0.33869","0.32427","","0.40779","0.34088","0.31743","0.27308","0.26245","0.27863","0.23675","0.22442","0.21459","0.43663","0.19879","0.17334","0.1784","0.15109","0.12577","0.12883","0.11043","0.10683","0.12797","","","","",
"República Checa","CZE","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.21683","1.05122","1.04113","1.24448","","","1.23543","1.18148","1.11562","1.09101","1.1084","1.08989","1.07471","0.69157","0.61536","0.62949","0.63042","0.64011","0.60905","0.54858","0.5815","0.57029","0.55185","0.5613","0.50089","","","","",
"Alemania","DEU","Repetidores, escuela primaria, total (% del total de inscriptos)","SE.PRM.REPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.83287","1.84861","1.76644","1.73033","1.72595","","1.72997","1.73669","1.77301","1.74293","1.61584","1.45148","1.36903","1.14112","1.15629","1.26956","0.55208","0.50709","0.49564","0.46831","0.43782","0.40797","0.41505","0.43731","0.44101","","","","",
